Offset: 0, Movie: MoviePathHere, DataFile: (null)
Tracks: antennal cleaning, Head cleaning, Wing cleaning, Abdominal cleaning, Notum cleaning, genital cleaning, Front leg rubbing, front proximal leg rub , Back leg rubbing, proboscis cleaning, ventral head , Walking, first leg notum , Standing still, 1st and 2nd leg rub, 2nd and 3rd leg rub, slip/jump, ventral front cleaning, stimulus ON, backing up, eye, nodding, top head
Time,Duration,TrackName,comment

0,28790,Standing still,(null)
100248,500,nodding,(null)
100281,500,top head,(null)
100748,233,Standing still,(null)
101014,334,top head,(null)
101348,233,Standing still,(null)
101581,200,nodding,(null)
101614,167,top head,(null)
101781,435,Standing still,(null)
102216,300,nodding,(null)
102283,166,top head,(null)
102516,400,Standing still,(null)
102883,200,top head,(null)
102883,267,nodding,(null)
103150,233,Standing still,(null)
103383,533,nodding,(null)
103383,600,top head,(null)
103983,233,Standing still,(null)
104216,1169,Front leg rubbing,(null)
105385,28490,Standing still,(null)
28690,5004,stimulus ON,(null)
28790,400,backing up,(null)
29225,100,top head,(null)
29391,133,top head,(null)
29558,100,Standing still,(null)
29658,100,top head,(null)
29791,67,Standing still,(null)
29858,100,top head,(null)
29958,200,eye,(null)
30125,200,Standing still,(null)
30325,133,top head,(null)
30325,99,nodding,(null)
30491,134,Standing still,(null)
30658,133,top head,(null)
30791,233,Standing still,(null)
31024,134,nodding,(null)
31024,134,top head,(null)
31191,135,Standing still,(null)
31326,167,top head,(null)
31360,133,nodding,(null)
31493,400,Standing still,(null)
31893,3168,Walking,(null)
35061,29034,Standing still,(null)
63751,5003,stimulus ON,(null)
64084,595,nodding,(null)
64485,168,top head,(null)
64686,67,Standing still,(null)
64753,283,nodding,(null)
64753,300,top head,(null)
65086,134,Standing still,(null)
65220,99,top head,(null)
65386,133,Standing still,(null)
65519,101,nodding,(null)
65519,134,top head,(null)
65686,133,Standing still,(null)
65853,133,top head,(null)
66019,467,Standing still,(null)
66486,200,top head,(null)
66486,268,nodding,(null)
66754,201,Standing still,(null)
66988,500,nodding,(null)
66988,567,top head,(null)
67537,251,Front leg rubbing,(null)
67788,333,top head,(null)
68121,167,Standing still,(null)
68288,902,Front leg rubbing,(null)
69190,266,ventral head ,(null)
69456,600,Front leg rubbing,(null)
70056,600,ventral head ,(null)
70656,134,Standing still,(null)
70790,168,eye,(null)
70925,466,nodding,(null)
70958,667,top head,(null)
71625,366,Standing still,(null)
72025,233,eye,(null)
72058,367,nodding,(null)
72258,300,top head,(null)
72558,367,eye,(null)
72925,26488,Standing still,(null)
98813,5003,stimulus ON,(null)
99413,333,top head,(null)
99746,100,Standing still,(null)
99813,133,top head,(null)
99980,268,Standing still,(null)
