Offset: 0, Movie: MoviePathHere, DataFile: (null)
Tracks: antennal cleaning, Head cleaning, Wing cleaning, Abdominal cleaning, Notum cleaning, genital cleaning, Front leg rubbing, front proximal leg rub , Back leg rubbing, proboscis cleaning, ventral head , Walking, first leg notum , Standing still, 1st and 2nd leg rub, 2nd and 3rd leg rub, slip/jump, ventral front cleaning, stimulus ON, backing up, eye, nodding, top eye
Time,Duration,TrackName,comment

0,29383,Standing still,(null)
100019,234,top eye,(null)
100286,1035,Standing still,(null)
101321,167,nodding,(null)
101321,167,top eye,(null)
101488,833,Standing still,(null)
102321,667,nodding,(null)
102355,666,top eye,(null)
102988,166,Front leg rubbing,(null)
103154,297,nodding,(null)
103154,301,top eye,(null)
103455,233,Standing still,(null)
103688,468,nodding,(null)
103688,502,top eye,(null)
104190,199,Standing still,(null)
104389,200,Front leg rubbing,(null)
104589,29416,Standing still,(null)
28816,5002,stimulus ON,(null)
29383,400,top eye,(null)
29383,431,nodding,(null)
29783,100,eye,(null)
29883,367,top eye,(null)
30216,234,Standing still,(null)
30450,300,nodding,(null)
30483,267,top eye,(null)
30783,167,Standing still,(null)
30950,300,nodding,(null)
30950,300,top eye,(null)
31250,635,Standing still,(null)
31885,333,nodding,(null)
31918,600,top eye,(null)
32551,200,Standing still,(null)
32784,600,top eye,(null)
32884,467,nodding,(null)
33418,333,Standing still,(null)
33751,300,top eye,(null)
33884,200,nodding,(null)
34084,29884,Standing still,(null)
63868,5002,stimulus ON,(null)
63968,167,backing up,(null)
64135,233,Standing still,(null)
64368,133,nodding,(null)
64368,966,top eye,(null)
64868,200,nodding,(null)
65334,201,Standing still,(null)
65535,734,nodding,(null)
65568,735,top eye,(null)
66336,167,Standing still,(null)
66436,567,top eye,(null)
66503,500,nodding,(null)
67003,500,Standing still,(null)
67503,333,nodding,(null)
67536,334,top eye,(null)
67836,267,Standing still,(null)
68103,833,top eye,(null)
68169,534,nodding,(null)
68970,468,Standing still,(null)
69438,400,top eye,(null)
69538,267,nodding,(null)
69838,29181,Standing still,(null)
98953,5003,stimulus ON,(null)
99019,300,backing up,(null)
99319,234,Standing still,(null)
99553,366,top eye,(null)
99720,166,nodding,(null)
